type,entry_price,entry_time,exit_price,exit_time,gross_pnl_pips,total_spread_pips,actual_cost_pips,rebate_pips,net_pnl_pips,exit_reason,channel_start,channel_end
long,1.41857,2021-05-19 01:42:35.788,1.41888,2021-05-19 01:48:59.083,3.0999999999981043,0.6000000000017103,0.6,1.7102985694350537e-12,3.0999999999998145,upper_bound,2021-05-19 01:42:00,2021-05-19 01:51:00
long,1.41123,2021-05-19 22:35:08.879,1.41123,2021-05-19 22:39:06.239,0.0,0.9999999999998899,0.6,0.3999999999998899,0.3999999999998899,upper_bound,2021-05-19 22:34:00,2021-05-19 22:40:00
long,1.41147,2021-05-20 05:16:08.724,1.41162,2021-05-20 05:26:24.224,1.500000000000945,0.5999999999994898,0.5999999999994898,0.0,1.500000000000945,upper_bound,2021-05-20 05:16:00,2021-05-20 05:27:00
long,1.41767,2021-05-21 04:09:35.513,1.41773,2021-05-21 04:13:45.682,0.5999999999994898,0.5999999999994898,0.5999999999994898,0.0,0.5999999999994898,upper_bound,2021-05-21 04:09:00,2021-05-21 04:15:00
long,1.41394,2021-05-24 01:43:01.671,1.41411,2021-05-24 01:44:24.588,1.7000000000000348,0.700000000000145,0.6,0.10000000000014497,1.8000000000001797,upper_bound,2021-05-24 01:43:00,2021-05-24 01:48:00
short,1.41712,2021-05-25 01:56:10.785,1.41681,2021-05-25 01:59:58.453,3.1000000000003247,0.6999999999979245,0.6,0.09999999999792453,3.199999999998249,lower_bound,2021-05-25 01:56:00,2021-05-25 02:00:00
short,1.4181,2021-05-25 04:53:36.630,1.41793,2021-05-25 05:09:59.470,1.7000000000000348,0.8999999999992347,0.6,0.29999999999923477,1.9999999999992695,lower_bound,2021-05-25 04:53:00,2021-05-25 05:10:00
short,1.41479,2021-05-25 22:21:04.155,1.41466,2021-05-25 22:21:24.249,1.2999999999996348,0.5999999999994898,0.5999999999994898,0.0,1.2999999999996348,lower_bound,2021-05-25 22:21:00,2021-05-25 22:25:00
long,1.41957,2021-05-28 04:46:00.798,1.4196,2021-05-28 04:53:55.299,0.2999999999997449,0.5999999999994898,0.5999999999994898,0.0,0.2999999999997449,upper_bound,2021-05-28 04:46:00,2021-05-28 04:54:00
long,1.41874,2021-05-31 01:39:35.138,1.419,2021-05-31 01:48:04.055,2.60000000000149,0.7999999999985796,0.6,0.19999999999857965,2.8000000000000695,upper_bound,2021-05-31 01:38:00,2021-05-31 01:50:00
